,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,ref_th_d_1,ref_th_d_2,ref_th_1,ref_th_2,th_ts_2_rel,th_d_ts_2_rel
922,9.21,-12.373049706149375,-5.208094628614113,151.06814059974175,3.875235969312797,0.7715232397863002,1.8066163760397327,-0.8560056994196831,-1.221265801783654,0.7228694657934365,-1.2432715382306125,0.8727316123838125,1.906003213829099,13.277993136669659,11.30933916207171,-1.966141004024049,1.0350931362534324
923,9.22,-10.76699372563683,-5.247651322913716,151.44665732332652,4.365229196001194,0.7631060373873935,1.793767441464352,-0.8077081511308173,-1.195552166858239,0.7305423723788596,-1.2252685620877846,0.8605137318940717,1.8893454138582997,13.28665910514988,11.328315831127416,-1.9558109344666441,1.0306614040769586
924,9.23,-9.256127331528575,-5.287812724735885,151.73514272724663,4.846565842613139,0.7551724538321103,1.781184879744972,-0.7622299900987729,-1.172639084012306,0.7381335239872614,-1.207392758762206,0.8486051041868005,1.8727753356611618,13.295204442162936,11.347126362773025,-1.9455262827494675,1.0260124259128618
925,9.24,-7.840993987852418,-5.328784022090471,151.93319465773797,5.318972475423718,0.7476943870641846,1.7688405571388075,-0.7195479503428827,-1.1525302008074043,0.7456476161435925,-1.1896416049849123,0.8370043850952699,1.8562905230100946,13.303632233607285,11.365771622075725,-1.9352892211285049,1.021146170074623
926,9.25,-6.521639039741412,-5.370769054675817,152.04088111851567,5.7821856888853596,0.7406439669368587,1.7567063187046632,-0.6796256722382614,-1.1352156517359717,0.7530890645132166,-1.1720128589555263,0.8257101258251431,1.8398883702114341,13.311945551408105,11.3842524487811,-1.925101923468743,1.0160623517678045
927,9.26,-5.297629660518833,-5.413966085020605,152.05872158027114,6.235955996305857,0.733993685139354,1.7447541219184781,-0.6424144917317797,-1.12067252822447,0.7604620078723,-1.154504559883636,0.8147207827510743,1.8235661361857607,13.320147452520628,11.402569655889403,-1.9149665677559362,1.010760436779124
928,9.27,-4.168076421526601,-5.458563891080281,151.98766662468958,6.680051410560788,0.7277165173058525,1.7329561656140438,-0.6078542613339133,-1.1088654060945133,0.7677703123382636,-1.137115026217439,0.8040347264844534,1.8073209579326808,13.328240978027743,11.420724028369499,-1.9048853385557027,1.0052396483081911
929,9.28,-3.131656304852326,-5.5047382136757195,151.82907610314157,7.114260681366676,0.7217860369912722,1.7212850136964644,-0.5758741969643784,-1.099746926787119,0.775017576780518,-1.1198428526091981,0.7936502502406532,1.7911498634188885,13.336229152324796,11.43871632200459,-1.8948604293897162,0.9994989767051922
930,9.290000000000001,-2.1866369791626266,-5.5526485844363265,151.58469599034538,7.5383961633144025,0.7161765212567761,1.7097137131087123,-0.5463937447644893,-1.0932584280375057,0.7822071393288853,-1.1026869056724071,0.7835655775336473,1.7750497839272323,13.344114982384633,11.45654726236404,-1.8848940450012925,0.9935371918519362
931,9.3,-1.3309021593167936,-5.60243555224349,151.25663411296165,7.952296296493735,0.7108630476663116,1.6982159055708315,-0.5193234620512611,-1.0893306190762524,0.7893420848947924,-1.0856463185905736,0.7737788692250633,1.7590175659035265,13.35190145709637,11.474217543896184,-1.874988403485366,0.9873528579045199
932,9.31,-0.5619778725394875,-5.654218319258386,150.84733493111818,8.355827688412038,0.7058215825532217,1.6867659326568458,-0.49456590671843564,-1.0878842950338727,0.7964252536186591,-1.0687204846420433,0.7642882299541287,1.7430499823366996,13.359591546671517,11.491727829137238,-1.8651457382607024,0.9809443501036241
933,9.32,0.12294054321875247,-5.70809279074429,150.35955354812612,8.748886792753792,0.7010290604725063,1.675338933824364,-0.4720165295504743,-1.0888310847886826,0.8034592501557323,-1.0519090497094816,0.7550917139742265,1.7271437437067438,13.367188202111429,11.50907874803181,-1.855368299865214,0.9743098733518577
934,9.33,0.7269608791063087,-5.764130036778736,149.79632911974488,9.131401186616511,0.6964634548091919,1.6639109370663532,-0.4515645641273221,-1.092074226226885,0.8104464537121028,-1.0352119038461098,0.74618733042101,1.7112955085335555,13.374694354730238,11.526270897360867,-1.8456583575582126,0.9674474822571613
935,9.34,1.2534660990344832,-5.822375158376191,149.1609578297179,9.5033304534108,0.6921038395661195,1.6524589419122422,-0.43309390924272323,-1.0975093626915284,0.8173890287425744,-1.0186291719738407,0.7375730480362903,1.6955018935584594,13.382112915727756,11.54330484027335,-1.8360182007164152,0.9603551023461226
936,9.35,1.7060861471394961,-5.882846545624476,148.45696559268072,9.864666683508963,0.6879304424048513,1.6409609945654327,-0.41648399904304323,-1.1050253543111932,0.8242889362225401,-1.0021612037908896,0.7292467993712088,1.679759483588848,13.389446775806965,11.56018110591787,-1.8264501400134296,0.9530305521605813
